id,Region,Taxonomy,Dwellings
AREA # 0104,JUTIAPA,W+WS/LPB+DNO/HEX:2,14.0
AREA # 0104,JUTIAPA,W+WWD/LWAL+DNO/HEX:1,81.3
AREA # 0105,LA MASICA,CR/LFM+DNO/HEX:1,114.0
AREA # 0105,LA MASICA,CR/LFM+DNO/HEX:2,114.0
AREA # 0105,LA MASICA,MCF/LWAL+DNO/HEX:1,55.2
AREA # 0105,LA MASICA,MCF/LWAL+DNO/HEX:2,22.1
AREA # 0105,LA MASICA,MR/LWAL+DNO/HEX:1,524.2
AREA # 0105,LA MASICA,MR/LWAL+DNO/HEX:2,111.2
AREA # 0105,LA MASICA,MR/LWAL+DNO/HEX:3,0.5
AREA # 0105,LA MASICA,MUR+ADO/LWAL+DNO/HEX:1,45.3
AREA # 0105,LA MASICA,MUR+ADO/LWAL+DNO/HEX:2,2.6
AREA # 0105,LA MASICA,MUR+ST/LWAL+DNO/HEX:1,16.0
AREA # 0105,LA MASICA,MUR/LWAL+DNO/HEX:1,1043.9
AREA # 0105,LA MASICA,MUR/LWAL+DNO/HEX:2,92.8
AREA # 0105,LA MASICA,UNK/HEX:1,11.0
AREA # 0105,LA MASICA,W+WLI/LDUAL+DNO/HEX:1,929.1
AREA # 0105,LA MASICA,W+WLI/LDUAL+DNO/HEX:2,48.9
AREA # 0105,LA MASICA,W+WS/LPB+DNO/HEX:1,96.3
AREA # 0105,LA MASICA,W+WS/LPB+DNO/HEX:2,10.7
AREA # 0105,LA MASICA,W+WWD/LWAL+DNO/HEX:1,3.1
AREA # 0106,SAN FRANCISCO,CR/LFM+DNO/HEX:1,33.2
AREA # 0106,SAN FRANCISCO,CR/LFM+DNO/HEX:2,33.2
AREA # 0106,SAN FRANCISCO,MCF/LWAL+DNO/HEX:1,9.2
AREA # 0106,SAN FRANCISCO,MCF/LWAL+DNO/HEX:2,3.7
AREA # 0106,SAN FRANCISCO,MR/LWAL+DNO/HEX:1,158.5
AREA # 0106,SAN FRANCISCO,MR/LWAL+DNO/HEX:2,32.8
AREA # 0106,SAN FRANCISCO,MR/LWAL+DNO/HEX:3,0.0
AREA # 0106,SAN FRANCISCO,MUR+ADO/LWAL+DNO/HEX:1,18.2
AREA # 0106,SAN FRANCISCO,MUR+ADO/LWAL+DNO/HEX:2,1.1
AREA # 0106,SAN FRANCISCO,MUR+ST/LWAL+DNO/HEX:1,8.0
AREA # 0106,SAN FRANCISCO,MUR/LWAL+DNO/HEX:1,328.6
AREA # 0106,SAN FRANCISCO,MUR/LWAL+DNO/HEX:2,29.6
AREA # 0106,SAN FRANCISCO,UNK/HEX:1,5.0
AREA # 0106,SAN FRANCISCO,W+WLI/LDUAL+DNO/HEX:1,284.0
AREA # 0106,SAN FRANCISCO,W+WLI/LDUAL+DNO/HEX:2,15.0
AREA # 0106,SAN FRANCISCO,W+WS/LPB+DNO/HEX:1,30.6
AREA # 0106,SAN FRANCISCO,W+WS/LPB+DNO/HEX:2,3.4
AREA # 0106,SAN FRANCISCO,W+WWD/LWAL+DNO/HEX:1,1.8
AREA # 0107,TELA,CR/LFM+DNO/HEX:1,295.3
AREA # 0107,TELA,CR/LFM+DNO/HEX:2,295.3
AREA # 0107,TELA,MCF/LWAL+DNO/HEX:1,131.2
AREA # 0107,TELA,MCF/LWAL+DNO/HEX:2,52.5
AREA # 0107,TELA,MR/LWAL+DNO/HEX:1,1322.6
AREA # 0107,TELA,MR/LWAL+DNO/HEX:2,280.0
AREA # 0107,TELA,MR/LWAL+DNO/HEX:3,0.7
AREA # 0107,TELA,MUR+ADO/LWAL+DNO/HEX:1,964.6
AREA # 0107,TELA,MUR+ADO/LWAL+DNO/HEX:2,53.0
AREA # 0107,TELA,MUR+ST/LWAL+DNO/HEX:1,50.0
AREA # 0107,TELA,MUR/LWAL+DNO/HEX:1,2798.6
AREA # 0107,TELA,MUR/LWAL+DNO/HEX:2,244.8
AREA # 0107,TELA,UNK/HEX:1,271.0
AREA # 0107,TELA,W+WLI/LDUAL+DNO/HEX:1,2557.4
AREA # 0107,TELA,W+WLI/LDUAL+DNO/HEX:2,134.6
AREA # 0107,TELA,W+WS/LPB+DNO/HEX:1,520.2
AREA # 0107,TELA,W+WS/LPB+DNO/HEX:2,57.8
AREA # 0107,TELA,W+WWD/LWAL+DNO/HEX:1,43.3
AREA # 0108,ARIZONA,CR/LFM+DNO/HEX:1,104.8
AREA # 0108,ARIZONA,CR/LFM+DNO/HEX:2,104.8
AREA # 0108,ARIZONA,MCF/LWAL+DNO/HEX:1,55.2
AREA # 0108,ARIZONA,MCF/LWAL+DNO/HEX:2,22.1
AREA # 0108,ARIZONA,MR/LWAL+DNO/HEX:1,476.8
AREA # 0108,ARIZONA,MR/LWAL+DNO/HEX:2,101.8
AREA # 0108,ARIZONA,MR/LWAL+DNO/HEX:3,0.3
AREA # 0108,ARIZONA,MUR+ADO/LWAL+DNO/HEX:1,255.7
AREA # 0108,ARIZONA,MUR+ADO/LWAL+DNO/HEX:2,14.2
AREA # 0108,ARIZONA,MUR+ST/LWAL+DNO/HEX:1,12.0
AREA # 0108,ARIZONA,MUR/LWAL+DNO/HEX:1,937.9
AREA # 0108,ARIZONA,MUR/LWAL+DNO/HEX:2,83.3
AREA # 0108,ARIZONA,UNK/HEX:1,42.0
AREA # 0108,ARIZONA,W+WLI/LDUAL+DNO/HEX:1,445.6
AREA # 0108,ARIZONA,W+WLI/LDUAL+DNO/HEX:2,23.5
AREA # 0108,ARIZONA,W+WS/LPB+DNO/HEX:1,32.4
AREA # 0108,ARIZONA,W+WS/LPB+DNO/HEX:2,3.6
AREA # 0108,ARIZONA,W+WWD/LWAL+DNO/HEX:1,14.1
AREA # 0201,TRUJILLO,CR/LFM+DNO/HEX:1,285.9
AREA # 0201,TRUJILLO,CR/LFM+DNO/HEX:2,285.9
AREA # 0201,TRUJILLO,MCF/LWAL+DNO/HEX:1,121.5
AREA # 0201,TRUJILLO,MCF/LWAL+DNO/HEX:2,48.6
AREA # 0201,TRUJILLO,MR/LWAL+DNO/HEX:1,1317.1
AREA # 0201,TRUJILLO,MR/LWAL+DNO/HEX:2,277.0
AREA # 0201,TRUJILLO,MR/LWAL+DNO/HEX:3,2.4
AREA # 0201,TRUJILLO,MUR+ADO/LWAL+DNO/HEX:1,1242.9
AREA # 0201,TRUJILLO,MUR+ADO/LWAL+DNO/HEX:2,71.3
AREA # 0201,TRUJILLO,MUR+ST/LWAL+DNO/HEX:1,79.0
AREA # 0201,TRUJILLO,MUR/LWAL+DNO/HEX:1,2740.9
AREA # 0201,TRUJILLO,MUR/LWAL+DNO/HEX:2,241.8
AREA # 0201,TRUJILLO,UNK/HEX:1,503.0
AREA # 0201,TRUJILLO,W+WLI/LDUAL+DNO/HEX:1,514.9
AREA # 0201,TRUJILLO,W+WLI/LDUAL+DNO/HEX:2,27.1
AREA # 0201,TRUJILLO,W+WS/LPB+DNO/HEX:1,107.1
AREA # 0201,TRUJILLO,W+WS/LPB+DNO/HEX:2,11.9
AREA # 0201,TRUJILLO,W+WWD/LWAL+DNO/HEX:1,110.8
AREA # 0202,BALFATE,CR/LFM+DNO/HEX:1,61.4
AREA # 0202,BALFATE,CR/LFM+DNO/HEX:2,61.4
AREA # 0202,BALFATE,MCF/LWAL+DNO/HEX:1,33.0
AREA # 0202,BALFATE,MCF/LWAL+DNO/HEX:2,13.2
AREA # 0202,BALFATE,MR/LWAL+DNO/HEX:1,269.8
AREA # 0202,BALFATE,MR/LWAL+DNO/HEX:2,57.8
AREA # 0202,BALFATE,MR/LWAL+DNO/HEX:3,0.2
AREA # 0202,BALFATE,MUR+ADO/LWAL+DNO/HEX:1,498.8
AREA # 0202,BALFATE,MUR+ADO/LWAL+DNO/HEX:2,29.4
AREA # 0202,BALFATE,MUR+ST/LWAL+DNO/HEX:1,11.0
AREA # 0202,BALFATE,MUR/LWAL+DNO/HEX:1,554.8
AREA # 0202,BALFATE,MUR/LWAL+DNO/HEX:2,48.4
AREA # 0202,BALFATE,UNK/HEX:1,47.0
AREA # 0202,BALFATE,W+WLI/LDUAL+DNO/HEX:1,235.6
AREA # 0202,BALFATE,W+WLI/LDUAL+DNO/HEX:2,12.4
AREA # 0202,BALFATE,W+WS/LPB+DNO/HEX:1,280.8
AREA # 0202,BALFATE,W+WS/LPB+DNO/HEX:2,31.2
AREA # 0202,BALFATE,W+WWD/LWAL+DNO/HEX:1,59.8
AREA # 0203,IRIONA,CR/LFM+DNO/HEX:1,90.3
AREA # 0203,IRIONA,CR/LFM+DNO/HEX:2,90.3
AREA # 0203,IRIONA,MCF/LWAL+DNO/HEX:1,98.2
AREA # 0203,IRIONA,MCF/LWAL+DNO/HEX:2,39.3
AREA # 0203,IRIONA,MR/LWAL+DNO/HEX:1,385.9
AREA # 0203,IRIONA,MR/LWAL+DNO/HEX:2,88.6
AREA # 0203,IRIONA,MR/LWAL+DNO/HEX:3,0.8
AREA # 0203,IRIONA,MUR+ADO/LWAL+DNO/HEX:1,355.5
AREA # 0203,IRIONA,MUR+ADO/LWAL+DNO/HEX:2,20.1
AREA # 0203,IRIONA,MUR+ST/LWAL+DNO/HEX:1,61.0
AREA # 0203,IRIONA,MUR/LWAL+DNO/HEX:1,605.6
AREA # 0203,IRIONA,MUR/LWAL+DNO/HEX:2,53.0
AREA # 0203,IRIONA,UNK/HEX:1,338.0
AREA # 0203,IRIONA,W+WLI/LDUAL+DNO/HEX:1,1894.3
AREA # 0203,IRIONA,W+WLI/LDUAL+DNO/HEX:2,99.7
AREA # 0203,IRIONA,W+WS/LPB+DNO/HEX:1,89.1
AREA # 0203,IRIONA,W+WS/LPB+DNO/HEX:2,9.9
AREA # 0203,IRIONA,W+WWD/LWAL+DNO/HEX:1,26.4
AREA # 0204,LIMON,CR/LFM+DNO/HEX:1,20.9
AREA # 0204,LIMON,CR/LFM+DNO/HEX:2,20.9
AREA # 0204,LIMON,MCF/LWAL+DNO/HEX:1,12.0
AREA # 0204,LIMON,MCF/LWAL+DNO/HEX:2,4.8
AREA # 0204,LIMON,MR/LWAL+DNO/HEX:1,88.0
AREA # 0204,LIMON,MR/LWAL+DNO/HEX:2,19.0
AREA # 0204,LIMON,MR/LWAL+DNO/HEX:3,0.2
AREA # 0204,LIMON,MUR+ADO/LWAL+DNO/HEX:1,327.3
AREA # 0204,LIMON,MUR+ADO/LWAL+DNO/HEX:2,18.3
AREA # 0204,LIMON,MUR+ST/LWAL+DNO/HEX:1,4.0
AREA # 0204,LIMON,MUR/LWAL+DNO/HEX:1,196.8
AREA # 0204,LIMON,MUR/LWAL+DNO/HEX:2,16.6
AREA # 0204,LIMON,UNK/HEX:1,72.0
AREA # 0204,LIMON,W+WLI/LDUAL+DNO/HEX:1,435.1
AREA # 0204,LIMON,W+WLI/LDUAL+DNO/HEX:2,22.9
AREA # 0204,LIMON,W+WS/LPB+DNO/HEX:1,13.5
