id,Region,Taxonomy,Dwellings
6,Jimaguay̼,CR/LFINF+DUC/HEX:3,22.7
6,Jimaguay̼,CR/LFINF+DUC/HEX:4,56.8
6,Jimaguay̼,CR/LFINF+DUC/HEX:5,56.8
6,Jimaguay̼,CR/LFM+DNO/HEX:1,11.4
6,Jimaguay̼,CR/LFM+DNO/HEX:2,11.4
6,Jimaguay̼,MCF/LWAL+DNO/HEX:1,11.4
6,Jimaguay̼,MCF/LWAL+DNO/HEX:2,11.4
6,Jimaguay̼,MCF/LWAL+DNO/HEX:3,34.1
6,Jimaguay̼,MCF/LWAL+DUC/HEX:1,11.4
6,Jimaguay̼,MCF/LWAL+DUC/HEX:2,11.4
6,Jimaguay̼,MCF/LWAL+DUC/HEX:3,11.4
6,Jimaguay̼,MR/LWAL+DNO/HEX:1,56.8
6,Jimaguay̼,MR/LWAL+DNO/HEX:2,56.8
6,Jimaguay̼,MR/LWAL+DNO/HEX:3,56.8
6,Jimaguay̼,MR/LWAL+DUC/HEX:1,56.8
6,Jimaguay̼,MR/LWAL+DUC/HEX:2,56.8
6,Jimaguay̼,MR/LWAL+DUC/HEX:3,22.7
6,Jimaguay̼,MUR+ADO/LWAL+DNO/HEX:1,20.2
6,Jimaguay̼,MUR+ADO/LWAL+DNO/HEX:2,3.1
6,Jimaguay̼,MUR/LWAL+DNO/HEX:1,125.1
6,Jimaguay̼,UNK/HEX:1,10.1
6,Jimaguay̼,W+WLI/LDUAL+DNO/HEX:1,141.5
6,Jimaguay̼,W+WLI/LDUAL+DNO/HEX:2,54.4
6,Jimaguay̼,W+WLI/LFM+DNO/HEX:2/SOS,21.8
6,Jimaguay̼,W+WS/LPB+DNO/HEX:1,33.9
6,Jimaguay̼,W+WS/LPB+DNO/HEX:2,6.0
6,Jimaguay̼,W+WWD/LWAL+DNO/HEX:1,7.8
7,Minas,"CR/LDUAL+DUC/HBET:6,10",593.8
7,Minas,CR/LFINF+DNO/HEX:2,66.0
7,Minas,CR/LFINF+DNO/HEX:3,461.8
7,Minas,CR/LFINF+DNO/HEX:4,725.8
7,Minas,CR/LFINF+DNO/HEX:5,725.8
7,Minas,CR/LFINF+DUC/HEX:2,66.0
7,Minas,CR/LFINF+DUC/HEX:3,132.0
7,Minas,CR/LFINF+DUC/HEX:4,329.9
7,Minas,CR/LFINF+DUC/HEX:5,329.9
7,Minas,CR/LFM+DNO/HEX:1,66.0
7,Minas,CR/LFM+DNO/HEX:2,66.0
7,Minas,MCF/LWAL+DNO/HEX:1,66.0
7,Minas,MCF/LWAL+DNO/HEX:2,66.0
7,Minas,MCF/LWAL+DNO/HEX:3,197.9
7,Minas,MCF/LWAL+DUC/HEX:1,66.0
7,Minas,MCF/LWAL+DUC/HEX:2,66.0
7,Minas,MCF/LWAL+DUC/HEX:3,66.0
7,Minas,MR/LWAL+DNO/HEX:1,329.9
7,Minas,MR/LWAL+DNO/HEX:2,329.9
7,Minas,MR/LWAL+DNO/HEX:3,329.9
7,Minas,MR/LWAL+DUC/HEX:1,329.9
7,Minas,MR/LWAL+DUC/HEX:2,329.9
